# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	234938
#@/user_id	719dad4c-c9d9-4b1c-b8ec-191ba8a2c940
bang bang 	梆梆	c=6 d=1.67257e-77 t=234932
bang bang 	棒棒	c=1 d=1 t=145857
bang bang 	邦邦	c=1 d=1 t=136645
bang bang mang 	幫幫忙	c=1 d=1 t=170984
bang ding 	綁定	c=13 d=1.15026e-13 t=234932
bang ma 	謗罵	c=2 d=4.44149e-41 t=234932
bang mang 	幫忙	c=220 d=1.09255 t=234932
bang mang kan 	幫忙看	c=1 d=1 t=135562
bang ni 	幫你	c=23 d=0.484325 t=234932
bang ni kan xia 	幫你看下	c=1 d=1 t=177017
bang shang 	綁上	c=1 d=0.00334597 t=234932
bang ta 	幫他	c=1 d=1.14081e-138 t=234932
bang wo 	幫我	c=84 d=0.0586281 t=234932
bang wo ge 	幫我個	c=1 d=9.20703e-29 t=234932
bang zai 	綁在	c=2 d=2.00345e-116 t=234932
bang zhe 	幫着	c=2 d=8.02181e-19 t=234932
bang zhe 	綁着	c=1 d=9.52727e-137 t=234932
bang zhu 	幫助	c=20 d=2.03862e-16 t=234932
bao 	保	c=2 d=1.81452e-39 t=234932
bao 	包	c=138 d=0.869358 t=234932
bao 	報	c=28 d=8.70098e-11 t=234932
bao 	寶	c=12 d=1.35462e-14 t=234932
bao 	抱	c=5 d=2.88677e-31 t=234932
bao 	爆	c=2 d=1 t=136327
bao 	飽	c=3 d=1.35548e-137 t=234932
bao an 	保安	c=2 d=7.12232e-38 t=234932
bao an 	報案	c=1 d=1 t=161925
bao bao 	寶寶	c=2 d=1.20371e-100 t=234932
bao bao 	抱抱	c=5 d=6.77337e-94 t=234932
bao bei 	報備	c=1 d=1 t=203951
bao bei 	寶貝	c=7 d=4.12828e-63 t=234932
bao biao 	報表	c=214 d=0.860708 t=234932
bao bu bao fa 	報不爆發	c=1 d=2.55772e-19 t=234932
bao chang 	包場	c=1 d=1.12516e-05 t=234932
bao chi 	保持	c=22 d=0.00525034 t=234932
bao chi yi zhi 	保持一致	c=1 d=9.72429e-25 t=234932
bao cu yo 	包粗喲	c=1 d=1 t=183073
bao cun 	保存	c=47 d=0.030241 t=234932
bao cuo 	報錯	c=242 d=1.6337 t=234932
bao die 	暴跌	c=3 d=2.6196e-117 t=234932
bao ding 	保定	c=2 d=6.34028e-12 t=234932
bao fa 	爆發	c=1 d=2.54496e-20 t=234932
bao fei 	報廢	c=2 d=1.32701e-05 t=234932
bao fu 	暴富	c=3 d=3.92797e-119 t=234932
bao gao 	報告	c=23 d=0.000151489 t=234932
bao guan 	保管	c=1 d=1 t=196572
bao guang 	曝光	c=6 d=4.74381e-51 t=234932
bao guo 	包裹	c=6 d=4.24172e-29 t=234932
bao han 	包含	c=58 d=0.071719 t=234932
bao he du 	飽和度	c=3 d=2.97521 t=142072
bao hu 	保護	c=1 d=6.63403e-27 t=234932
bao hu zi ji 	保護自己	c=0 d=7.95217e-159 t=234932
bao jia 	報價	c=2 d=1.94145e-11 t=234932
bao jie 	保潔	c=2 d=9.69424e-18 t=234932
bao jing 	報警	c=1 d=1 t=161940
bao kao 	報考	c=1 d=2.54626e-25 t=234932
bao kuo 	包括	c=26 d=0.0146253 t=234932
bao lei 	暴雷	c=1 d=0.00195963 t=234932
bao lei ji 	堡壘機	c=10 d=4.90406e-37 t=234932
bao li 	包裏	c=1 d=4.9133e-111 t=234932
bao li 	暴力	c=11 d=1.49444e-16 t=234932
bao li po jie 	暴力破解	c=1 d=5.15676e-33 t=234932
bao liu 	保留	c=12 d=0.0510474 t=234932
bao lu 	暴露	c=2 d=2.80679e-24 t=234932
bao lu di zhi 	暴露地址	c=1 d=7.7817e-109 t=234932
bao ma 	寶馬	c=154 d=0.268087 t=234932
bao ma ben 	寶馬本	c=5 d=2.73892e-136 t=234932
bao mao 	豹貓	c=1 d=1.80364e-174 t=234932
bao mi 	保密	c=3 d=1.82076e-50 t=234932
bao ming 	報名	c=8 d=2.05338e-06 t=234932
bao nian 	包年	c=1 d=1 t=215247
bao nuan 	保暖	c=2 d=4.13639e-106 t=234932
bao qian 	抱歉	c=22 d=5.55366e-23 t=234932
bao shen me 	報什麼	c=1 d=1 t=160315
bao shi 	保溼	c=1 d=7.65517e-122 t=234932
bao shi 	寶石	c=1 d=1 t=188641
bao wen 	報文	c=1 d=1 t=198520
bao wen bei 	保溫杯	c=1 d=5.48274e-107 t=234932
bao wo 	抱窩	c=1 d=1 t=200322
bao xian 	保險	c=5 d=3.87862e-35 t=234932
bao xiao 	報銷	c=4 d=0.0246002 t=234932
bao xiu 	保修	c=1 d=1.31042e-151 t=234932
bao xiu 	包宿	c=1 d=7.24281e-147 t=234932
bao xue 	暴雪	c=1 d=1 t=204352
bao yang 	保養	c=2 d=8.47983e-61 t=234932
bao yang zi ji 	保養自己	c=1 d=4.57397e-122 t=234932
bao yu 	暴雨	c=1 d=1.27737e-174 t=234932
bao yuan 	抱怨	c=1 d=2.65523e-18 t=234932
bao zao 	暴躁	c=1 d=1 t=132681
bao zha 	爆炸	c=1 d=1 t=136854
bao zhang 	暴漲	c=3 d=2.46121e-117 t=234932
bao zhe ge 	報這個	c=1 d=4.00653e-06 t=234932
bao zhe ge cuo wu 	報這個錯誤	c=1 d=4.02661e-05 t=234932
bao zheng 	保證	c=1 d=2.14155e-18 t=234932
bao zhu 	保住	c=1 d=1 t=164825
